,anio,codigo_municipio,municipio,codigo_departamento,departamento,codigo_etc,etc,poblacion_5_16,tasa_matriculacion_5_16,cobertura_neta,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,desercion,desercion_primaria,desercion_secundaria,desercion_media,aprobacion,aprobacion_primaria,aprobacion_secundaria,aprobacion_media,reprobacion,reprobacion_primaria,reprobacion_secundaria,reprobacion_media,repitencia,repitencia_primaria,repitencia_secundaria,repitencia_media
8805,2017,70215,Corozal,70,Sucre,3813.0,Sucre (ETC),13196.0,106.4,106.35,103.31,89.4,56.65,123.0,127.1,123.45,104.72,1.67,1.21,2.03,1.21,88.92,91.24,84.16,88.23,9.41,7.55,13.81,10.56,1.11,0.87,1.42,0.6
8806,2017,70221,Coveñas,70,Sucre,3813.0,Sucre (ETC),3456.0,96.1,95.83,96.45,75.37,50.18,112.5,117.25,105.34,97.54,2.33,0.88,2.44,2.08,88.58,93.81,81.46,85.86,9.09,5.31,16.1,12.06,3.24,0.75,8.27,2.08
8807,2017,70230,Chalán,70,Sucre,3813.0,Sucre (ETC),1067.0,89.0,89.03,76.23,72.07,51.74,112.46,116.82,115.92,100.58,2.89,3.36,2.97,1.53,83.14,83.86,76.76,88.55,13.97,12.78,20.27,9.92,4.05,4.71,5.68,1.72
8808,2017,70233,El Roble,70,Sucre,3813.0,Sucre (ETC),2579.0,82.7,82.71,80.68,64.77,35.8,91.28,103.23,88.84,61.34,6.53,6.27,7.91,4.02,84.19,83.6,81.23,87.15,9.28,10.13,10.86,8.84,0.13,0.18,0.13,1.72
8809,2017,70235,Galeras,70,Sucre,3813.0,Sucre (ETC),5094.0,90.4,90.26,80.85,74.9,44.82,107.01,105.76,106.65,85.14,2.35,1.71,3.38,2.55,88.76,89.0,84.0,90.69,8.9,9.29,12.62,6.75,0.59,1.03,0.24,1.72
8810,2018,15686,Santana,15,Boyacá,3769.0,Boyacá (ETC),1462.0,79.51,93.64,87.0,88.8,49.21,98.97,104.5,107.54,68.65,1.88,1.49,2.17,2.4,98.12,98.51,97.83,97.6,5.15,4.43,7.98,4.24,7.0,7.28,10.43,1.72
8811,2017,70265,Guaranda,70,Sucre,3813.0,Sucre (ETC),4593.0,84.7,84.67,86.49,58.42,25.03,95.8,114.29,85.05,48.4,3.61,3.09,3.5,3.96,89.5,89.12,87.55,91.42,6.89,7.79,8.95,4.62,1.67,1.66,2.47,0.66
8812,2017,70400,La Unión,70,Sucre,3813.0,Sucre (ETC),2745.0,98.5,98.51,88.12,68.52,37.77,115.05,124.44,113.77,82.66,1.15,1.24,1.04,1.29,85.6,83.45,87.75,96.12,13.25,15.32,11.21,2.59,0.36,0.34,0.21,0.65
8813,2017,70418,Los Palmitos,70,Sucre,3813.0,Sucre (ETC),4040.0,114.4,114.33,113.12,89.67,53.06,132.03,143.82,127.04,94.32,2.17,1.16,3.08,1.7,89.18,90.37,85.04,90.48,8.65,8.47,11.88,7.82,0.31,0.58,0.18,1.72
8814,2017,70429,Majagual,70,Sucre,3813.0,Sucre (ETC),8084.0,107.9,107.86,99.94,83.98,45.24,129.12,135.65,120.79,106.04,1.96,1.84,2.4,1.14,92.09,91.92,89.0,95.34,5.96,6.24,8.6,3.52,0.69,0.77,0.52,1.72
8815,2017,70473,Morroa,70,Sucre,3813.0,Sucre (ETC),3322.0,77.2,76.91,75.38,55.85,28.09,92.53,104.85,89.3,66.37,2.71,1.06,4.98,3.23,86.91,91.27,79.16,82.08,10.38,7.66,15.86,14.7,0.04,2.26,3.41,0.36
8816,2017,70508,Ovejas,70,Sucre,3813.0,Sucre (ETC),4983.0,102.4,102.41,99.48,79.82,53.5,118.64,131.68,111.66,93.13,2.18,1.82,2.44,2.34,89.31,88.05,87.72,91.88,8.51,10.14,9.83,5.78,1.56,2.36,1.13,0.94
8817,2017,70523,Palmito,70,Sucre,3813.0,Sucre (ETC),3952.0,82.6,82.57,77.07,65.75,41.65,95.77,98.27,95.42,82.33,0.59,0.5,0.6,0.75,90.65,91.05,88.36,88.78,8.75,8.45,11.04,10.47,0.82,0.69,1.28,0.5
8818,2017,70670,Sampués,70,Sucre,3813.0,Sucre (ETC),9143.0,108.1,108.07,108.33,81.84,45.03,127.45,135.17,120.36,97.11,1.56,1.25,1.54,1.89,88.0,88.9,83.44,86.87,10.43,9.85,15.01,11.24,1.11,1.06,1.7,0.94
8819,2017,70678,San Benito Abad,70,Sucre,3813.0,Sucre (ETC),6604.0,90.4,90.45,90.53,62.37,30.51,105.03,121.07,97.45,66.51,3.14,2.9,3.88,3.15,88.66,87.81,85.37,93.36,8.19,9.29,10.75,3.5,0.15,0.12,3.41,1.72
8820,2017,70702,San Juan de Betulia,70,Sucre,3813.0,Sucre (ETC),2538.0,98.8,98.82,99.04,78.68,53.53,111.94,120.37,112.01,90.89,2.13,2.27,0.79,2.35,90.77,92.18,88.28,90.59,7.1,5.55,10.94,7.06,1.06,0.67,1.01,2.94
8821,2017,70708,San Marcos,70,Sucre,3813.0,Sucre (ETC),14013.0,92.5,92.46,89.97,69.25,41.06,104.26,118.03,98.64,74.08,4.84,3.71,6.49,4.05,88.02,88.22,85.31,89.41,7.14,8.06,8.2,6.55,1.03,1.02,1.45,0.74
8822,2017,70713,San Onofre,70,Sucre,3813.0,Sucre (ETC),13456.0,94.1,94.06,90.77,65.38,33.35,109.84,125.48,98.57,63.0,3.47,3.06,4.44,3.09,85.86,85.11,82.35,87.46,10.67,11.84,13.21,9.45,1.23,1.64,1.04,0.35
8823,2017,70717,San Pedro,70,Sucre,3813.0,Sucre (ETC),3348.0,115.2,115.2,105.68,90.91,52.84,134.05,129.03,130.78,104.95,2.97,2.78,2.57,3.14,87.16,88.72,80.56,87.87,9.87,8.5,16.87,9.0,2.0,2.78,2.34,0.63
8824,2017,70742,Sincé,70,Sucre,3813.0,Sucre (ETC),7734.0,76.6,76.55,76.73,59.57,33.78,87.33,97.2,86.56,59.16,3.57,2.33,5.64,3.01,86.32,90.75,78.72,79.85,10.11,6.92,15.64,17.14,2.09,0.97,4.26,2.26
8825,2017,70771,Sucre,70,Sucre,3813.0,Sucre (ETC),4840.0,106.3,106.34,105.81,71.3,34.85,120.79,141.72,107.3,65.91,4.56,3.24,7.95,3.39,91.74,92.52,87.16,94.61,3.7,4.24,4.9,2.0,0.36,0.52,0.3,1.72
8826,2017,70820,Santiago de Tolú,70,Sucre,3813.0,Sucre (ETC),8217.0,86.6,86.47,84.98,65.75,30.71,99.4,106.66,97.95,57.73,2.05,1.53,2.09,0.36,84.82,87.16,76.31,91.34,13.13,11.3,21.61,8.3,0.13,0.03,3.41,1.72
8827,2017,70823,Toluviejo,70,Sucre,3813.0,Sucre (ETC),4346.0,106.3,106.24,105.11,85.01,53.7,120.25,129.41,114.92,92.59,2.97,1.29,5.06,3.64,87.21,90.12,80.61,86.59,9.82,8.59,14.33,9.77,3.07,1.65,6.24,2.15
8828,2017,73001,Ibagué,73,Tolima,3816.0,Ibagué,112916.0,84.4,84.26,82.06,74.11,46.58,95.21,97.07,102.35,82.47,2.58,2.32,2.97,1.81,89.16,91.95,84.27,90.85,8.26,5.73,12.76,7.34,0.5,0.36,0.8,0.28
8829,2017,73024,Alpujarra,73,Tolima,3815.0,Tolima (ETC),1007.0,80.0,80.04,70.05,74.1,44.24,91.26,81.13,109.94,92.73,2.02,2.03,2.3,1.14,89.17,91.86,83.28,93.18,8.82,6.1,14.43,5.68,0.25,2.26,0.33,1.14
8830,2017,73026,Alvarado,73,Tolima,3815.0,Tolima (ETC),1921.0,78.2,78.19,78.94,62.8,40.96,84.64,100.0,81.1,61.09,4.19,3.15,6.02,3.35,87.37,90.55,79.51,92.18,8.44,6.3,14.47,4.47,0.57,0.52,0.75,0.56
8831,2017,73030,Ambalema,73,Tolima,3815.0,Tolima (ETC),1311.0,79.3,79.25,80.22,61.85,31.14,86.19,102.93,85.78,54.82,4.87,2.31,7.18,8.8,86.46,90.93,77.62,87.2,8.67,6.76,15.19,4.0,3.63,3.91,4.7,1.6
